Input Signal,Original Force Outputted,,,,,Force Outputted
0,0,,,,,0.00E+00
0.5,0.00001,,,,,1.00E-04
1,5.00E-05,,,,,5.00E-04
1.5,0.00006,,,,,6.00E-04
2,7.00E-05,,,,,7.00E-04
2.5,8.00E-05,,,,,8.00E-04
3,7.00E-04,,,,,7.00E-03
3.5,1.20E-03,,,,,1.20E-02
4,1.70E-03,,,,,1.70E-02
4.5,2.30E-03,,,,,2.30E-02
5,3.00E-03,,,,,3.00E-02
5.5,3.65E-03,,,,,3.65E-02
6,4.50E-03,,,,,4.50E-02
6.5,5.25E-03,,,,,5.25E-02
7,6.00E-03,,,,,6.00E-02
7.5,6.95E-03,,,,,6.95E-02
8,7.90E-03,,,,,7.90E-02
8.5,8.75E-03,,,,,8.75E-02
9,9.55E-03,,,,,9.55E-02
9.5,1.05E-02,,,,,1.05E-01
10,1.13E-02,,,,,1.13E-01